Gene	Cluster
Rpl5	Cluster_1
Gm15446	Cluster_1
Zfp932	Cluster_1
Golga3	Cluster_1
Pgam5	Cluster_1
Sgsm1	Cluster_1
Wscd2	Cluster_1
1500011B03Rik	Cluster_1
2210016L21Rik	Cluster_1
Pop5	Cluster_1
Rnf10	Cluster_1
Srsf9	Cluster_1
Pebp1	Cluster_1
Fbxo21	Cluster_1
Tesc	Cluster_1
Fbxw8	Cluster_1
Rasal1	Cluster_1
Ptpn11	Cluster_1
Erp29	Cluster_1
Cux2	Cluster_1
Arpc3	Cluster_1
Ift81	Cluster_1
Kdm2b	Cluster_1
Psmd9	Cluster_1
Wdr66	Cluster_1
Bcl7a	Cluster_1
Vps33a	Cluster_1
Zcchc8	Cluster_1
Vps37b	Cluster_1
Kmt5a	Cluster_1
Rilpl1	Cluster_1
Zfp664	Cluster_1
Mmp17	Cluster_1
Mrps17	Cluster_1
Vkorc1l1	Cluster_1
Tpst1	Cluster_1
Rabgef1	Cluster_1
Sbds	Cluster_1
Vps37d	Cluster_1
Mdh2	Cluster_1
Srrt	Cluster_1
Actl6b	Cluster_1
Agfg2	Cluster_1
Zkscan1	Cluster_1
Lamtor4	Cluster_1
Zfp157	Cluster_1
Iqce	Cluster_1
Foxk1	Cluster_1
Radil	Cluster_1
Daglb	Cluster_1
Rac1	Cluster_1
Ccz1	Cluster_1
Tecpr1	Cluster_1
Bri3	Cluster_1
Tmem130	Cluster_1
Arpc1a	Cluster_1
Atp5j2	Cluster_1
Usp12	Cluster_1
Hsph1	Cluster_1
Sem1	Cluster_1
Sdhaf3	Cluster_1
C1galt1	Cluster_1
Mios	Cluster_1
Gpr85	Cluster_1
Arf5	Cluster_1
Ccdc136	Cluster_1
Mest	Cluster_1
Nup205	Cluster_1
Ttc26	Cluster_1
Mkrn1	Cluster_1
Dennd2a	Cluster_1
Mrps33	Cluster_1
Ssbp1	Cluster_1
Tpk1	Cluster_1
Zfp746	Cluster_1
Krba1	Cluster_1
Malsu1	Cluster_1
Igf2bp3	Cluster_1
Wipf3	Cluster_1
Scrn1	Cluster_1
Gars	Cluster_1
Adcyap1r1	Cluster_1
Ppm1k	Cluster_1
Fam13a	Cluster_1
Gprin3	Cluster_1
Hpgds	Cluster_1
Rnf103	Cluster_1
Chmp3	Cluster_1
Ptcd3	Cluster_1
Suclg1	Cluster_1
Lrrtm1	Cluster_1
Htra2	Cluster_1
Dguok	Cluster_1
Nagk	Cluster_1
Fbxo41	Cluster_1
Alms1	Cluster_1
Gfpt1	Cluster_1
Cnbp	Cluster_1
Copg1	Cluster_1
Sec61a1	Cluster_1
Hdac11	Cluster_1
Ccdc174	Cluster_1
Slc25a26	Cluster_1
Arl6ip5	Cluster_1
Lrrn1	Cluster_1
Bhlhe40	Cluster_1
Arl8b	Cluster_1
Cpne9	Cluster_1
Brk1	Cluster_1
Hrh1	Cluster_1
Atg7	Cluster_1
Pparg	Cluster_1
Ift122	Cluster_1
Ankrd26	Cluster_1
Dcp1b	Cluster_1
Adipor2	Cluster_1
Rad52	Cluster_1
Hdhd5	Cluster_1
Atp6v1e1	Cluster_1
Bcl2l13	Cluster_1
Rimklb	Cluster_1
Eno2	Cluster_1
Tpi1	Cluster_1
Gpr162	Cluster_1
Mlf2	Cluster_1
Pianp	Cluster_1
Iffo1	Cluster_1
Kcna1	Cluster_1
Ccnd2	Cluster_1
Prmt8	Cluster_1
Tulp3	Cluster_1
Ybx3	Cluster_1
Borcs5	Cluster_1
Fam234b	Cluster_1
Ptpro	Cluster_1
Aebp2	Cluster_1
Ldhb	Cluster_1
Cmas	Cluster_1
Rassf8	Cluster_1
Ints13	Cluster_1
Fgfr1op2	Cluster_1
Med21	Cluster_1
Stk38l	Cluster_1
Ipo8	Cluster_1
Resf1	Cluster_1
Cacng8	Cluster_1
Syt5	Cluster_1
Shisa7	Cluster_1
U2af2	Cluster_1
Epn1	Cluster_1
Gm45844	Cluster_1
Clcn4	Cluster_1
Zscan18	Cluster_1
Selenow	Cluster_1
Napa	Cluster_1
Slc8a2	Cluster_1
Sae1	Cluster_1
Pnmal2	Cluster_1
Pnmal1	Cluster_1
Nova2	Cluster_1
Ppp1r37	Cluster_1
Clasrp	Cluster_1
Clptm1	Cluster_1
Tomm40	Cluster_1
Megf8	Cluster_1
Hnrnpul1	Cluster_1
Numbl	Cluster_1
Pld3	Cluster_1
Map3k10	Cluster_1
Supt5	Cluster_1
Ryr1	Cluster_1
Dpf1	Cluster_1
Sipa1l3	Cluster_1
