Gene	Cluster
IGSF11	Cluster_1
IKBKB	Cluster_1
IKZF2	Cluster_1
IKZF4	Cluster_1
IL34	Cluster_1
ILF2	Cluster_1
ILF3	Cluster_1
ILKAP	Cluster_1
INA	Cluster_1
INHA	Cluster_1
INKA2	Cluster_1
INPP5B	Cluster_1
INSIG2	Cluster_1
INTS13	Cluster_1
INTS3	Cluster_1
INTS7	Cluster_1
INTU	Cluster_1
IP6K1	Cluster_1
IP6K2	Cluster_1
IPO5	Cluster_1
IPO7	Cluster_1
IPO8	Cluster_1
IPO9	Cluster_1
IQCJ	Cluster_1
IRAK1BP1	Cluster_1
IST1	Cluster_1
ITGA8	Cluster_1
ITGB3BP	Cluster_1
ITGB8	Cluster_1
ITGBL1	Cluster_1
ITM2C	Cluster_1
ITPKA	Cluster_1
JADE3	Cluster_1
JAKMIP1	Cluster_1
JKAMP	Cluster_1
JMY	Cluster_1
JOSD1	Cluster_1
JPH4	Cluster_1
JPT1	Cluster_1
JUNB	Cluster_1
JUND	Cluster_1
KANSL2	Cluster_1
KANSL3	Cluster_1
KATNAL2	Cluster_1
KBTBD11	Cluster_1
KCNA1	Cluster_1
KCNA4	Cluster_1
KCNAB2	Cluster_1
KCNC1	Cluster_1
KCNC3	Cluster_1
KCNH3	Cluster_1
KCNH4	Cluster_1
KCNH5	Cluster_1
KCNIP2	Cluster_1
KCNJ9	Cluster_1
KCNK10	Cluster_1
KCNK9	Cluster_1
KCNN3	Cluster_1
KCNT1	Cluster_1
KCNV1	Cluster_1
KCTD17	Cluster_1
KCTD3	Cluster_1
KCTD4	Cluster_1
KDM2B	Cluster_1
KDM4B	Cluster_1
KDSR	Cluster_1
KHSRP	Cluster_1
KIF21B	Cluster_1
KIF26B	Cluster_1
KITLG	Cluster_1
KLF8	Cluster_1
KLHDC2	Cluster_1
KLHL12	Cluster_1
KLHL15	Cluster_1
KLHL23	Cluster_1
KMT2B	Cluster_1
KMT2D	Cluster_1
KMT5A	Cluster_1
KNOP1	Cluster_1
KPNB1	Cluster_1
KRBA1	Cluster_1
L1CAM	Cluster_1
LACTB	Cluster_1
LACTB2	Cluster_1
LAGE3	Cluster_1
LAMC1	Cluster_1
LAMP5	Cluster_1
LAMTOR4	Cluster_1
LARP1B	Cluster_1
LARP4	Cluster_1
LARS2	Cluster_1
LAS1L	Cluster_1
LDAH	Cluster_1
LDHB	Cluster_1
LEMD3	Cluster_1
LHX2	Cluster_1
LIAS	Cluster_1
LIFR	Cluster_1
LIMK2	Cluster_1
LIN7C	Cluster_1
LMAN1	Cluster_1
LMBRD2	Cluster_1
LMO7	Cluster_1
LMTK3	Cluster_1
LNX1	Cluster_1
LONRF1	Cluster_1
LONRF2	Cluster_1
LRCH2	Cluster_1
LRP11	Cluster_1
